id|device_id|created_at|published_at_utc|float_value|int_value|str_value|event_name
16668|250019001247343339383037|2022-12-15 10:37:49.852312+00|2022-12-15 10:37:49.831+00|83.718687|||tempA4
16669|250019001247343339383037|2022-12-15 10:37:49.856129+00|2022-12-15 10:37:49.831+00||4||wifi
16670|e00fce685f262f4ea1486367|2022-12-15 10:40:12.153239+00|2022-12-15 10:40:12.129+00|64.400002|||temp
16671|250019001247343339383037|2022-12-15 10:42:49.632673+00|2022-12-15 10:42:49.607+00|82.848353|||tempA0
16672|250019001247343339383037|2022-12-15 10:42:49.807227+00|2022-12-15 10:42:49.79+00|83.428568|||tempA4
16673|250019001247343339383037|2022-12-15 10:42:49.809684+00|2022-12-15 10:42:49.79+00||4||wifi
16674|e00fce685f262f4ea1486367|2022-12-15 10:45:12.208529+00|2022-12-15 10:45:12.165+00|64.400002|||temp
16675|250019001247343339383037|2022-12-15 10:47:49.648237+00|2022-12-15 10:47:49.619+00|83.573633|||tempA0
16676|250019001247343339383037|2022-12-15 10:47:49.811225+00|2022-12-15 10:47:49.794+00|82.848353|||tempA4
16677|250019001247343339383037|2022-12-15 10:47:49.813961+00|2022-12-15 10:47:49.794+00||4||wifi
16678|e00fce685f262f4ea1486367|2022-12-15 10:50:12.324393+00|2022-12-15 10:50:12.296+00|66.199997|||temp
16679|250019001247343339383037|2022-12-15 10:52:49.634281+00|2022-12-15 10:52:49.611+00|82.703299|||tempA0
16680|250019001247343339383037|2022-12-15 10:52:49.821177+00|2022-12-15 10:52:49.805+00|83.428568|||tempA4
16681|250019001247343339383037|2022-12-15 10:52:49.822505+00|2022-12-15 10:52:49.805+00||4||wifi
16682|e00fce685f262f4ea1486367|2022-12-15 10:55:12.245363+00|2022-12-15 10:55:12.223+00|64.400002|||temp
16683|250019001247343339383037|2022-12-15 10:57:49.640568+00|2022-12-15 10:57:49.619+00|82.848353|||tempA0
16684|250019001247343339383037|2022-12-15 10:57:49.83229+00|2022-12-15 10:57:49.814+00|83.138461|||tempA4
16685|250019001247343339383037|2022-12-15 10:57:49.834034+00|2022-12-15 10:57:49.814+00||4||wifi
16686|e00fce685f262f4ea1486367|2022-12-15 11:00:12.37709+00|2022-12-15 11:00:12.346+00|64.400002|||temp
16687|250019001247343339383037|2022-12-15 11:02:49.764728+00|2022-12-15 11:02:49.621+00|82.268137|||tempA0
16688|250019001247343339383037|2022-12-15 11:02:49.856008+00|2022-12-15 11:02:49.84+00|83.138461|||tempA4
16689|250019001247343339383037|2022-12-15 11:02:49.857168+00|2022-12-15 11:02:49.84+00||4||wifi
16690|e00fce685f262f4ea1486367|2022-12-15 11:05:12.310982+00|2022-12-15 11:05:12.287+00|64.400002|||temp
16691|250019001247343339383037|2022-12-15 11:07:49.626514+00|2022-12-15 11:07:49.6+00|82.558234|||tempA0
